c0a0_tr_time.wav|The time is eight forty seven a m. Current topside temperature is ninety three degrees, with an estimated high of one hundred and five. The Black Mesa compound is maintained at a pleasant sixty eight degrees at all times.
c0a0_tr_gmorn.wav|Good morning, and welcome to the Black Mesa transit system. This automated train is provided for the security and convenience of the Black Mesa Research Facility personnel.
c0a0_​tr_​exit.​wav|Please stand back from the automated door, and wait for the security officer to verify your identity. Before exiting the train, be sure to check your area for personal belongings. Thank you, and have a very safe and productive day.
c0a0_​tr_​arrive.​wav|Now arriving at sector C test labs and control facilities.
c0a0_​tr_​haz.​wav|A reminder to all Black Mesa personnel: regular radiation and biohazard screenings are a requirement of continued employment in the Black Mesa Research Facility. Missing a scheduled urinalysis or radiation checkup is grounds for immediate termination. If you feel you have been exposed to radioactive or other hazardous materials in the course of your duties, contact your radiation safety officer immediately. Work safe, work smart. Your future depends on it.
c0a0_​tr_​dest.​wav|This train is inbound from level three dormitories to sector C test labs and control facilities. If your intended destination is a high security area beyond sector C, you will need to return to the central transit hub in area nine and board a high security train. If you have not yet submitted your identity to the retinal clearance system, you must report to Black Mesa personnel for processing before you will be permitted into the high security branch of the transit system.
c0a0_​tr_​jobs.​wav|Do you have a friend or relative who would make a valuable addition to the Black Mesa Team? Immediate openings are available in the areas of: materials handling, and low clearance security. Please contact Black Mesa personnel for further information. If you have an associate with a background in the areas of: theoretical physics, biotechnology, or other high-tech disciplines, please contact our civilian recruitment division. The Black Mesa Research Facility is an equal opportunity employer.
c0a0_​tr_​emerg.​wav|Please keep your limbs inside the train at all times. Do not attempt to open the doors until the train has come to a complete halt at the station platform. In the event of an emergency, passengers are to remain seated and await further instruction. If it is necessary to exit the train, disabled personnel should be evacuated first. Please stay away from electrified rails, and proceed to an emergency station until assistance arrives.
c0a0_​tr_​noeat.​wav|Due to the high toxicity of material routinely handled in the Black Mesa compound, no smoking, eating, or drinking are permitted within the Black Mesa Transit System.
c0a0_​tr_​tourn.​wav|A reminder that the Black Mesa Hazard Course decathlon will commence this evening at nineteen hundred hours in the Level three facility. The semifinals for high-security personnel will be announced in a separate Secure Access transmission. Remember, more lives than your own may depend on your fitness.
